feature,gain,fold
V135,67,2
V136,264,2
V137,79,2
V138,1,2
V139,187,2
V140,39,2
V141,9,2
V142,8,2
V143,168,2
V144,25,2
V145,84,2
V146,41,2
V147,62,2
V148,19,2
V149,285,2
V150,88,2
V151,33,2
V152,178,2
V153,23,2
V154,56,2
V155,24,2
V156,256,2
V157,11,2
V158,30,2
V159,68,2
V160,118,2
V161,59,2
V162,116,2
V163,37,2
V164,104,2
V165,436,2
V166,46,2
V167,23,2
V168,32,2
V169,205,2
V170,96,2
V171,51,2
V172,78,2
V173,21,2
V174,13,2
V175,19,2
V176,40,2
V177,17,2
V178,54,2
V179,18,2
V180,26,2
V181,16,2
V182,44,2
V183,19,2
V184,53,2
V185,14,2
V186,17,2
V187,337,2
V188,41,2
V189,233,2
V190,18,2
V191,22,2
V192,34,2
V193,21,2
V194,16,2
V195,7,2
V196,5,2
V197,96,2
V198,19,2
V199,45,2
V200,81,2
V201,76,2
V202,54,2
V203,143,2
V204,73,2
V205,143,2
V206,93,2
V207,149,2
V208,151,2
V209,175,2
V210,109,2
V211,46,2
V212,106,2
V213,54,2
V214,62,2
V215,134,2
V216,94,2
V217,117,2
V218,88,2
V219,67,2
V220,116,2
V221,175,2
V222,91,2
V223,94,2
V224,78,2
V225,27,2
V226,30,2
V227,30,2
V228,33,2
V229,94,2
V230,52,2
V231,37,2
V232,48,2
V233,45,2
V234,96,2
V235,31,2
V236,15,2
V237,17,2
V238,35,2
V239,52,2
V240,1,2
V241,1,2
V242,37,2
V243,224,2
V244,59,2
V245,149,2
V246,42,2
V247,9,2
V248,61,2
V249,30,2
V250,35,2
V251,160,2
V252,12,2
V253,86,2
V254,37,2
V255,20,2
V256,229,2
V257,144,2
V258,434,2
V259,176,2
V260,56,2
V261,271,2
V262,115,2
V263,102,2
V264,186,2
V265,108,2
V266,403,2
V267,239,2
V268,129,2
V269,3,2
V270,124,2
V271,205,2
V272,100,2
V273,79,2
V274,164,2
V275,67,2
V276,175,2
V277,171,2
V278,97,2
V279,118,2
V280,56,2
V281,337,2
V282,213,2
V283,356,2
V284,10,2
V285,252,2
V286,50,2
V287,36,2
V288,51,2
V289,80,2
V290,39,2
V291,119,2
V292,39,2
V293,106,2
V294,345,2
V295,48,2
V296,180,2
V297,5,2
V298,77,2
V299,11,2
V300,63,2
V301,61,2
V302,6,2
V303,33,2
V304,29,2
V305,0,2
V306,102,2
V307,791,2
V308,363,2
V309,176,2
V310,632,2
V311,312,2
V312,316,2
V313,642,2
V314,377,2
V315,460,2
V316,81,2
V317,318,2
V318,76,2
V319,26,2
V320,366,2
V321,65,2
V322,20,2
V323,118,2
V324,73,2
V325,1,2
V326,21,2
V327,12,2
V328,6,2
V329,26,2
V330,6,2
V331,16,2
V332,86,2
V333,42,2
V334,12,2
V335,32,2
V336,36,2
V337,14,2
V338,24,2
V339,19,2
is_december,602,2
is_holiday,19,2
card1_fq_enc,1372,2
card2_fq_enc,1854,2
card3_fq_enc,92,2
card5_fq_enc,172,2
uid_fq_enc,1031,2
uid2_fq_enc,1043,2
uid3_fq_enc,1275,2
uid4_fq_enc,1772,2
uid5_fq_enc,1416,2
card3_DT_D_hour_dist,2310,2
card3_DT_W_week_day_dist,2051,2
card3_DT_M_month_day_dist,1817,2
card3_DT_D_hour_dist_best,2237,2
card3_DT_W_week_day_dist_best,899,2
card3_DT_M_month_day_dist_best,2306,2
card5_DT_D_hour_dist,2276,2
card5_DT_W_week_day_dist,1942,2
card5_DT_M_month_day_dist,2043,2
card5_DT_D_hour_dist_best,1792,2
card5_DT_W_week_day_dist_best,986,2
card5_DT_M_month_day_dist_best,2505,2
bank_type_DT_D_hour_dist,1965,2
bank_type_DT_W_week_day_dist,1857,2
bank_type_DT_M_month_day_dist,1728,2
bank_type_DT_D_hour_dist_best,1541,2
bank_type_DT_W_week_day_dist_best,805,2
bank_type_DT_M_month_day_dist_best,1791,2
bank_type_DT_M,1200,2
bank_type_DT_W,1528,2
bank_type_DT_D,2046,2
uid_D1_mean,743,2
uid_D1_std,840,2
uid2_D1_mean,588,2
uid2_D1_std,699,2
uid3_D1_mean,1094,2
uid3_D1_std,1323,2
uid4_D1_mean,1539,2
uid4_D1_std,2137,2
uid5_D1_mean,1207,2
uid5_D1_std,1584,2
bank_type_D1_mean,125,2
bank_type_D1_std,125,2
uid_D2_mean,1319,2
uid_D2_std,1432,2
uid2_D2_mean,1147,2
uid2_D2_std,1454,2
uid3_D2_mean,2021,2
uid3_D2_std,1978,2
uid4_D2_mean,3059,2
uid4_D2_std,3396,2
uid5_D2_mean,2259,2
uid5_D2_std,2368,2
bank_type_D2_mean,213,2
bank_type_D2_std,383,2
uid_D3_mean,1377,2
uid_D3_std,1328,2
uid2_D3_mean,1525,2
uid2_D3_std,1146,2
uid3_D3_mean,2274,2
uid3_D3_std,2114,2
uid4_D3_mean,3422,2
uid4_D3_std,2844,2
uid5_D3_mean,2513,2
uid5_D3_std,2559,2
bank_type_D3_mean,429,2
bank_type_D3_std,394,2
uid_D4_mean,912,2
uid_D4_std,1064,2
uid2_D4_mean,730,2
uid2_D4_std,874,2
uid3_D4_mean,1470,2
uid3_D4_std,1622,2
uid4_D4_mean,2587,2
uid4_D4_std,2321,2
uid5_D4_mean,1776,2
uid5_D4_std,1918,2
bank_type_D4_mean,151,2
bank_type_D4_std,122,2
uid_D5_mean,1592,2
uid_D5_std,1556,2
uid2_D5_mean,1591,2
uid2_D5_std,1401,2
uid3_D5_mean,2183,2
uid3_D5_std,2430,2
uid4_D5_mean,3151,2
uid4_D5_std,2864,2
uid5_D5_mean,2464,2
uid5_D5_std,2525,2
bank_type_D5_mean,252,2
bank_type_D5_std,343,2
uid_D6_mean,1713,2
uid_D6_std,1397,2
uid2_D6_mean,1479,2
uid2_D6_std,1284,2
uid3_D6_mean,2144,2
uid3_D6_std,1662,2
uid4_D6_mean,1261,2
uid4_D6_std,1381,2
uid5_D6_mean,411,2
uid5_D6_std,369,2
bank_type_D6_mean,362,2
bank_type_D6_std,271,2
uid_D7_mean,1797,2
uid_D7_std,2048,2
uid2_D7_mean,1552,2
uid2_D7_std,1627,2
uid3_D7_mean,2134,2
uid3_D7_std,1877,2
uid4_D7_mean,1596,2
uid4_D7_std,1387,2
uid5_D7_mean,479,2
uid5_D7_std,401,2
bank_type_D7_mean,290,2
bank_type_D7_std,219,2
uid_D8_mean,2185,2
uid_D8_std,1103,2
uid2_D8_mean,1866,2
uid2_D8_std,953,2
uid3_D8_mean,3066,2
uid3_D8_std,1486,2
uid4_D8_mean,2789,2
uid4_D8_std,1765,2
uid5_D8_mean,3016,2
uid5_D8_std,1786,2
bank_type_D8_mean,287,2
bank_type_D8_std,81,2
uid_D9_mean,1961,2
uid_D9_std,2180,2
uid2_D9_mean,1943,2
uid2_D9_std,1804,2
uid3_D9_mean,2856,2
uid3_D9_std,2899,2
uid4_D9_mean,3227,2
uid4_D9_std,2221,2
uid5_D9_mean,2691,2
uid5_D9_std,2374,2
bank_type_D9_mean,241,2
bank_type_D9_std,261,2
uid_D10_mean,938,2
uid_D10_std,1021,2
uid2_D10_mean,786,2
uid2_D10_std,920,2
uid3_D10_mean,1196,2
uid3_D10_std,1399,2
uid4_D10_mean,1807,2
uid4_D10_std,1898,2
uid5_D10_mean,1366,2
uid5_D10_std,1516,2
bank_type_D10_mean,184,2
bank_type_D10_std,181,2
uid_D11_mean,1224,2
uid_D11_std,1207,2
uid2_D11_mean,1055,2
uid2_D11_std,1096,2
uid3_D11_mean,1529,2
uid3_D11_std,1574,2
uid4_D11_mean,2492,2
uid4_D11_std,2478,2
uid5_D11_mean,1378,2
uid5_D11_std,1332,2
bank_type_D11_mean,203,2
bank_type_D11_std,216,2
uid_D12_mean,1384,2
uid_D12_std,1344,2
uid2_D12_mean,990,2
uid2_D12_std,1126,2
uid3_D12_mean,314,2
uid3_D12_std,340,2
uid4_D12_mean,328,2
uid4_D12_std,342,2
uid5_D12_mean,181,2
uid5_D12_std,159,2
bank_type_D12_mean,496,2
bank_type_D12_std,544,2
uid_D13_mean,1413,2
uid_D13_std,1408,2
uid2_D13_mean,1289,2
uid2_D13_std,1325,2
uid3_D13_mean,1407,2
uid3_D13_std,1485,2
uid4_D13_mean,896,2
uid4_D13_std,883,2
uid5_D13_mean,795,2
uid5_D13_std,802,2
bank_type_D13_mean,380,2
bank_type_D13_std,419,2
uid_D14_mean,1557,2
uid_D14_std,1713,2
uid2_D14_mean,1329,2
uid2_D14_std,1411,2
uid3_D14_mean,1798,2
uid3_D14_std,1894,2
uid4_D14_mean,1368,2
uid4_D14_std,1512,2
uid5_D14_mean,1194,2
