feature,gain,fold
V258,1576,3
V259,1591,3
V260,856,3
V261,1743,3
V262,1121,3
V263,2975,3
V264,4890,3
V265,3690,3
V266,1241,3
V267,2090,3
V268,1264,3
V269,25,3
V270,1174,3
V271,1299,3
V272,1091,3
V273,1558,3
V274,2491,3
V275,1612,3
V276,1146,3
V277,1884,3
V278,1366,3
V279,1277,3
V280,2502,3
V281,2111,3
V282,4859,3
V283,5328,3
V284,481,3
V285,4274,3
V286,438,3
V287,1010,3
V288,1301,3
V289,1697,3
V290,546,3
V291,2664,3
V292,1340,3
V293,671,3
V294,2459,3
V295,1039,3
V296,1351,3
V297,205,3
V298,841,3
V299,331,3
V300,500,3
V301,561,3
V302,96,3
V303,477,3
V304,311,3
V305,0,3
V306,4865,3
V307,14867,3
V308,9058,3
V309,2965,3
V310,11764,3
V311,1622,3
V312,6298,3
V313,10611,3
V314,8757,3
V315,9115,3
V316,2093,3
V317,5438,3
V318,3138,3
V319,876,3
V320,2926,3
V321,1274,3
V322,246,3
V323,734,3
V324,440,3
V325,19,3
V326,243,3
V327,86,3
V328,76,3
V329,194,3
V330,131,3
V331,465,3
V332,1102,3
V333,708,3
V334,65,3
V335,399,3
V336,269,3
V337,201,3
V338,423,3
V339,270,3
id_01,5892,3
id_02,26378,3
id_03,1509,3
id_04,637,3
id_05,7361,3
id_06,9995,3
id_07,391,3
id_08,392,3
id_09,1858,3
id_10,626,3
id_11,617,3
id_12,437,3
id_13,2340,3
id_14,260,3
id_15,2515,3
id_16,2162,3
id_17,79,3
id_18,251,3
id_19,8511,3
id_20,9827,3
id_21,47,3
id_22,0,3
id_23,61,3
id_24,0,3
id_25,205,3
id_26,28,3
id_27,16,3
id_28,1185,3
id_29,881,3
id_30,3477,3
id_31,9484,3
id_32,859,3
id_33,2954,3
id_34,862,3
id_35,163,3
id_36,254,3
id_37,1393,3
id_38,2992,3
DeviceType,2450,3
DeviceInfo,7451,3
f103__TransactionAmt_decimal,30815,3
f103__card1_count_full,71093,3
f103__Transaction_day_of_week,30232,3
f103__Transaction_hour,47470,3
f103__id_02__id_20,17232,3
f103__id_02__D8,15668,3
f103__D11__DeviceInfo,20098,3
f103__DeviceInfo__P_emaildomain,25893,3
f103__P_emaildomain__C2,35339,3
f103__card2__dist1,49358,3
f103__card1__card5,59459,3
f103__card2__id_20,43918,3
f103__card5__P_emaildomain,42930,3
f103__addr1__card1,64001,3
id_34_count_full,516,3
id_36_count_full,148,3
id_01_count_dist,5202,3
id_31_count_dist,14461,3
id_33_count_dist,5933,3
id_35_count_dist,57,3
id_36_count_dist,93,3
f201__DeviceInfo_CE,13907,3
f201__DeviceType_CE,1322,3
f201__M1_CE,185,3
f201__M2_CE,2769,3
f201__M3_CE,4616,3
f201__M4_CE,10396,3
f201__M5_CE,8703,3
f201__M6_CE,8147,3
f201__M7_CE,3882,3
f201__M8_CE,5491,3
f201__M9_CE,4599,3
f201__P_emaildomain_CE,26905,3
f201__ProductCD_CE,1994,3
f201__R_emaildomain_CE,10459,3
f201__addr1_CE,44780,3
f201__addr2_CE,653,3
f201__card4_CE,6020,3
f201__card6_CE,5151,3
f201__id_01_CE,5922,3
f201__id_03_CE,1848,3
f201__id_04_CE,538,3
f201__id_05_CE,8437,3
f201__id_06_CE,9768,3
f201__id_07_CE,273,3
f201__id_08_CE,165,3
f201__id_09_CE,1788,3
f201__id_10_CE,551,3
f201__id_11_CE,668,3
f201__id_12_CE,164,3
f201__id_13_CE,10004,3
f201__id_14_CE,3210,3
f201__id_15_CE,1199,3
f201__id_16_CE,1432,3
f201__id_17_CE,931,3
f201__id_18_CE,3629,3
f201__id_19_CE,15419,3
f201__id_20_CE,15620,3
f201__id_21_CE,240,3
f201__id_22_CE,36,3
f201__id_23_CE,58,3
f201__id_24_CE,135,3
f201__id_25_CE,235,3
f201__id_26_CE,139,3
f201__id_27_CE,8,3
f201__id_28_CE,396,3
f201__id_29_CE,321,3
f201__id_30_CE,5573,3
f201__id_31_CE,13605,3
f201__id_32_CE,523,3
f201__id_33_CE,5174,3
f201__id_34_CE,389,3
f201__id_35_CE,50,3
f201__id_36_CE,94,3
f201__id_37_CE,677,3
f201__id_38_CE,1671,3
TransactionDT,91146,4
TransactionAmt,82247,4
ProductCD,648,4
card1,35515,4
card2,23601,4
card3,1071,4
card4,352,4
card5,7437,4
card6,498,4
addr1,27376,4
addr2,23,4
dist1,29702,4
dist2,9007,4
P_emaildomain,8709,4
R_emaildomain,2558,4
C1,20154,4
C2,17387,4
C3,339,4
C4,3092,4
C5,4876,4
C6,12550,4
C7,2065,4
C8,5086,4
C9,9270,4
C10,4830,4
C11,12934,4
C12,5182,4
C13,30954,4
C14,15400,4
D1,23572,4
D2,26056,4
D3,17062,4
D4,31180,4
D5,18602,4
D6,6544,4
D7,3413,4
D8,16848,4
D9,9471,4
D10,26930,4
D11,22750,4
D12,6291,4
D13,3466,4
D14,6903,4
D15,38000,4
M1,1301,4
M2,4957,4
M3,6643,4
M4,10361,4
M5,11608,4
M6,11233,4
M7,6319,4
M8,7687,4
M9,7116,4
V1,107,4
V2,1382,4
V3,2534,4
V4,3660,4
V5,4529,4
V6,1595,4
